Starting transfer attack: 50 RPS for 60 seconds
Setting up test customers...
[source-83] balance verified: 972.00
[source-84] balance verified: 978.00
[source-85] balance verified: 976.00
[source-86] balance verified: 976.00
[source-87] balance verified: 983.00
[source-88] balance verified: 973.00
[source-89] balance verified: 972.00
[source-90] balance verified: 971.00
[source-91] balance verified: 969.00
[source-92] balance verified: 977.00
[source-93] balance verified: 965.00
[source-94] balance verified: 972.00
[source-95] balance verified: 971.00
[source-96] balance verified: 980.00
[source-97] balance verified: 969.00
[source-98] balance verified: 980.00
[source-99] balance verified: 966.00
[dest-0] balance verified: 28.00
[dest-1] balance verified: 26.00
[dest-2] balance verified: 33.00
[dest-3] balance verified: 27.00
[dest-4] balance verified: 39.00
[dest-5] balance verified: 28.00
[dest-6] balance verified: 27.00
[dest-7] balance verified: 28.00
[dest-8] balance verified: 36.00
[dest-9] balance verified: 36.00
[dest-10] balance verified: 33.00
[dest-11] balance verified: 37.00
[dest-12] balance verified: 28.00
[dest-13] balance verified: 30.00
[dest-14] balance verified: 31.00
[dest-15] balance verified: 35.00
[dest-16] balance verified: 35.00
[dest-17] balance verified: 19.00
[dest-18] balance verified: 36.00
[dest-19] balance verified: 31.00
[dest-20] balance verified: 28.00
[dest-21] balance verified: 27.00
[dest-22] balance verified: 34.00
[dest-23] balance verified: 29.00
[dest-24] balance verified: 33.00
[dest-25] balance verified: 24.00
[dest-26] balance verified: 23.00
[dest-27] balance verified: 24.00
[dest-28] balance verified: 37.00
[dest-29] balance verified: 33.00
[dest-30] balance verified: 26.00
[dest-31] balance verified: 23.00
[dest-32] balance verified: 36.00
[dest-33] balance verified: 23.00
[dest-34] balance verified: 30.00
[dest-35] balance verified: 28.00
[dest-36] balance verified: 32.00
[dest-37] balance verified: 28.00
[dest-38] balance verified: 28.00
[dest-39] balance verified: 27.00
[dest-40] balance verified: 37.00
[dest-41] balance verified: 26.00
[dest-42] balance verified: 27.00
[dest-43] balance verified: 26.00
[dest-44] balance verified: 32.00
[dest-45] balance verified: 30.00
[dest-46] balance verified: 26.00
[dest-47] balance verified: 26.00
[dest-48] balance verified: 38.00
[dest-49] balance verified: 34.00
[dest-50] balance verified: 25.00
[dest-51] balance verified: 32.00
[dest-52] balance verified: 22.00
[dest-53] balance verified: 27.00
[dest-54] balance verified: 34.00
[dest-55] balance verified: 35.00
[dest-56] balance verified: 32.00
[dest-57] balance verified: 34.00
[dest-58] balance verified: 36.00
[dest-59] balance verified: 29.00
[dest-60] balance verified: 34.00
[dest-61] balance verified: 36.00
[dest-62] balance verified: 37.00
[dest-63] balance verified: 23.00
[dest-64] balance verified: 30.00
[dest-65] balance verified: 29.00
[dest-66] balance verified: 31.00
[dest-67] balance verified: 29.00
[dest-68] balance verified: 33.00
[dest-69] balance verified: 22.00
[dest-70] balance verified: 30.00
[dest-71] balance verified: 23.00
[dest-72] balance verified: 35.00
[dest-73] balance verified: 26.00
[dest-74] balance verified: 36.00
[dest-75] balance verified: 29.00
[dest-76] balance verified: 26.00
[dest-77] balance verified: 42.00
[dest-78] balance verified: 35.00
[dest-79] balance verified: 41.00
[dest-80] balance verified: 42.00
[dest-81] balance verified: 39.00
[dest-82] balance verified: 26.00
[dest-83] balance verified: 32.00
[dest-84] balance verified: 27.00
[dest-85] balance verified: 47.00
[dest-86] balance verified: 34.00
[dest-87] balance verified: 28.00
[dest-88] balance verified: 31.00
[dest-89] balance verified: 37.00
[dest-90] balance verified: 38.00
[dest-91] balance verified: 32.00
[dest-92] balance verified: 35.00
[dest-93] balance verified: 31.00
[dest-94] balance verified: 38.00
[dest-95] balance verified: 23.00
[dest-96] balance verified: 25.00
[dest-97] balance verified: 36.00
[dest-98] balance verified: 38.00
[dest-99] balance verified: 30.00
✅ All customer balances verified successfully
Final total balance: 100100.00
✅ Balance verification passed - no money lost or created
╔══════════════════════════════════════════════════════════════╗
║                    QUEUING SYSTEM ANALYSIS                  ║
╚══════════════════════════════════════════════════════════════╝

📊 SYSTEM OVERVIEW:
   Observation Duration: 59.980918578s
   Requests Submitted:   3000
   Requests Completed:   3000
   System Status:        🔴 OVERLOADED

⚡ PERFORMANCE METRICS:
   Mean Response Time:   43.118373ms
   50th percentile:      19.155313ms
   95th percentile:      150.129574ms
   99th percentile:      176.571861ms
   Max Response Time:    267.78586ms
   Success Rate:         100.00%

🔬 QUEUING THEORY ANALYSIS:
   Arrival Rate (λ):      50.02 requests/sec
   Service Rate (μ):      50.00 requests/sec
   Traffic Intensity (ρ): 1.000
   Throughput:           50.00 requests/sec

🎯 PERFORMANCE ASSESSMENT:
   Response Time:  🟢 Excellent (< 100ms)
   System Health:  🔴 System cannot keep up with demand

⚠️  SYSTEM OVERLOADED!

══════════════════════════════════════════════════════════════════

=== Detailed Report ===
Report appended to transfer_attack_report.txt

Test accounts created: [84c0df0f-f57b-44dd-b955-b25fd33c418f 80d4575f-a8d2-41a8-9ec8-594a4577ce5f 94f3c397-a3a4-4259-b1ef-b965f5d20cf0 700fcea5-cc02-4f5e-9465-ee0fba6e97e6 07e398d7-07aa-4243-9926-838fe17774d9 acefbe2b-2f14-4edb-b67d-b74f59e7c685 e8c1d187-6cda-4d43-b601-846ed326d8de b732f8de-8310-4d99-83aa-eada07df335d fb19a12c-0921-4aa0-b025-52e09652640f 702c829f-bce4-47e5-afbb-23ab731113e2 2d1a2e07-628a-4fbd-b7e3-0d51591074b0 f3e19ae9-8ae8-4507-85de-26fe971389fd 9ab4e28b-1732-4d57-a52a-29383c8d90bf a86a2ec7-be7f-4a00-ae31-f3c86ce1b945 a3f113a7-59a4-44e2-a7c0-cdfd371679f7 dc359751-1166-4dc7-a06d-b08556fd82bd 1687ecae-0e16-4c9f-b6fb-68c5e5129ed3 807909e3-d55e-41eb-ada6-77d9c3bf30c1 5909b422-3512-4446-a4bd-ee14cb54bd6b 48d064ee-2f76-4c79-99e0-770a009b9a24 7646940c-e4b5-41ca-b101-914a57ddcceb 31b7a28f-75ff-4616-b55d-f15e33194699 1c707c68-5a94-4aec-a8bc-ebcb61b696f8 82a8f277-b86f-4009-9152-8408d49fb123 3128849a-103d-40d1-91db-f86734cab4b7 a804a60a-f1ea-443e-85a6-c19bd5cf36e6 4c108833-de1f-4aab-8dd7-68b67f0d1621 c518dee0-5151-4cf5-89a8-710aac16b18b bf1dcc38-200b-4084-b1ff-3a79f7f54c87 ae9204f0-be0d-4c70-8d36-e5bc4e8b7eec 0351279e-7055-43b0-a46b-e0e510c56a88 4b22faee-3c91-461d-a917-d38b0bcc2038 0bcd4280-85f7-47cf-8c95-0e0bea0da7cf 95d74c61-a40e-4d13-b022-3b003eaaf268 5466e480-4762-4c1f-a748-af747cc3444c ceda2282-ed2e-4619-8e02-eb9ccb599649 05fed643-f1ef-430e-a359-32ec2756e243 893d52ce-3026-416d-87b1-429a429669b9 a665f458-3c09-44f8-aa68-1ea65ab889cf bb0441bb-cc0a-4337-86cd-95ec20dd85da d57bd5b0-729a-4d1e-81c6-3e7daf7c2aad 96ce384e-22cb-4ca3-8512-15bf49757f5a fc88a227-5282-4977-828b-5e63fc3938b5 c3f40c6c-c1df-42a1-bc57-4f73ce8d2751 53f50cd2-7f7b-4bbf-ac6d-f33947e9a465 e39acd8a-63a7-4945-af4b-cdfa96b6d2cf 8f9e5a9e-53f1-4912-b7ad-7731200e3194 842db3fe-0152-4ce6-920c-38f9f6393003 659ac66c-8287-4ed5-8375-389ded1efd5d 907592c5-dae6-42f3-95a3-cf04392f303d d138689f-16cc-4b48-b5a9-67cce6c7753d b2be2390-b7a1-4c0b-b0c6-61f975afc7d2 f8afc345-5ac0-49f7-9895-974bd681107d e6cce898-1b56-44f0-bdaf-85dcf09d97be 4f9e0c3e-dea6-4b9a-acb4-b57b974f6117 bc886440-e653-4e42-be46-5b30606303af fa01f806-71f3-4a18-a847-1bdcb09458f3 4c67b61f-9d41-4f9f-9c8a-a32072da894a 54a51401-1abe-4925-92a5-3340319f9115 948f5bc6-fd50-4cc8-b4fc-5578c59963cf b928ab3c-c322-46ab-aac3-aa77faed2bf8 437f13a0-26a0-42de-a6e3-93aa035a83f3 73eeb3e0-3a02-413c-bef1-f4eb17bbc66f 0c4b6e6b-5eea-4ab6-8d21-89cfd506dc2d 592981ac-14d1-4b09-b34e-d114010c21c6 33cb1c2c-8264-4224-ac0f-72869845bd2e 6c91d3d5-1507-4def-a729-f901269ca4db 1365a664-f937-4cf0-bc2e-512bead0d050 dac50dbd-a274-4d17-a0cd-2d938bd9d500 341557e7-d15e-4f5b-9241-fa68133fbdec 6d27a50e-8290-4acd-9c14-ba6bdfa29b18 bb408962-d914-4398-9a7a-b495c072d5b2 a7aa0493-62b6-4264-953e-53a1eeba8c03 41019d18-0c32-48df-ab90-b578a4e993fd babd40dc-7d3e-4aed-b5f6-4cabda49c2c1 02b643ff-eb5a-47af-a50a-7bce089da43f d01810ad-b7b2-4b63-b865-fd35bf81a75d 5595927a-667b-4f73-83ee-4545df2c6f7f e7c6be46-56ea-474e-97d6-bf6809a725d7 4dfbfc4c-0676-4e52-99bc-4f131199939c 757a410f-3fdc-4980-94b4-6257f2936b48 a4fe0e0b-ef98-42b7-a224-828a2a7a3d0d 5247e8e5-8d34-4383-a6e5-b40904047b3a e0f54f3a-16b4-44ef-9d71-93248d2fa3af 49cbc77b-9222-45d1-ab34-7175889061e7 4b1ba6a8-b76e-46ac-b25d-8c1e7a17b130 e2d4f3c6-b81c-4553-8c6e-0768797d03ff f7bc5775-c89a-4e99-bb98-e565185a84a9 3f264cab-e91f-4223-aefa-751cb774a097 3dcf8013-d42d-40cf-aebe-f18a9658d5b7 c7d5c962-fd9a-4190-ba3f-dc9329f23166 61dd24cc-adde-4701-8deb-3685a87af2de f9b99843-35a3-482b-8211-4cd96eeabc57 66fc25d9-d31c-4204-bfbf-24a2c633ebaa 2ebb8db6-bc60-4888-8c2f-c7fc51c7425b ce1bdcc4-dede-423f-878a-f383a4ed0742 84487cb8-c6de-4ba5-8248-ee16e40a6100 5d6ec558-d349-41d2-b29d-73a6124579c2 bc17fffd-a5d9-4344-b0ee-095d91d1b01a 927ed208-37ee-4f8b-9b20-4dddff070541 6b150737-5f7c-4081-b457-17e4cc064011 5b93c092-cc27-4503-8529-9e849f1c6c7d b0201682-8dba-4ca3-a8ab-3f38304865f7 a75c1e3c-2316-4d2e-b49e-b681e10ea6f2 ad68db62-0613-4584-a2a8-0970f0ea7028 84ddd6e3-0328-4709-9d2c-1553cf7b4de6 e6e6a247-cbc2-44d1-a700-0f155b8d0e10 c3f4f17e-087b-45fb-9ac5-1f51ed9a2b9f 010bbbaf-3d11-4a18-9414-6e694d31204b 2d5004b5-e0b0-47f9-916c-fa984f4423c5 f5579b4d-d03f-4d6e-9273-c140498b1324 43196649-0d4c-4808-ae47-124c1aab33e0 a62bf965-4cdb-475c-b2a5-c87032860abd 75bc7e25-628c-401d-92be-6b680c367a27 1c3020da-fce5-422a-a8ac-dfadd39d7e49 6993a46b-058a-4797-85ce-8e7a0b6be3f4 f6a1aab5-4e46-43fb-945a-64e845a919fd afb43f88-6e8c-4441-910d-7825d9f0d9ed 2ee5b7d5-0298-4d51-932d-981ec90d8c02 e2f5d4fa-fc7f-4dbc-9360-2086bb67c533 d8b4aee0-5130-489b-a459-624d3d94ea62 ae07610b-d924-472e-8547-cbf443d60b79 c5600f8b-49cc-4f77-b52b-ebf535a1007a 3e6e0a54-7161-4e2b-89b7-33f5014ff26f 3ab770ed-d3f0-498a-9090-aefeb75370cd a3b29b6b-99dc-4716-9dbe-335be8245fc5 9b01b6a3-3c71-42be-ad09-598b226afa89 a2ef3a78-3e00-49b8-baed-6a0d45f2fe6b 0b036520-dcdd-4bf4-935d-d0afb595a82a ad3f50aa-ebaa-456e-b5bc-ea7bc65163e0 80822e09-4ab7-4788-9bb2-7a21fba65b5f 270c62c0-514c-4cbe-a1d4-8be15bc3db14 68d6901b-d370-4c3b-849c-85c425acdb1a e0e77c48-e051-4387-97f8-cfa364ba3f29 931d8c22-4b7b-4943-aa92-02d101a9fb46 e0347a41-307b-4c49-9166-36123e5874c7 734724a3-38dc-46ca-88e5-d62c4a6b63e3 5ae2af26-d23a-4aff-b1c6-21b3f1ea7274 f0050ae7-d1c4-493a-9175-629826106f1c 52134eec-ec77-4faf-b97e-92dfab49d7fb 60cb5442-5062-4146-91a6-f7c7e9b09c4b 2aaaff39-0b91-4e7e-bea9-683f671a504a 52a511ae-afe2-41a7-9e6f-0f3bd25ccbdc 2b0be32a-b3cb-40ed-949d-5c73d1dfb08d 02ee7dbb-b088-4f64-9b4f-2ac62103a526 6db12ffa-7c7d-4400-802c-610c091545e1 56413933-83b8-46b6-8558-9265515a44ec 83dd0892-5df1-45ba-a5b0-7a4f00b8670b 104c3e7f-571b-4d39-bf9a-9e468d34e483 5e845d85-0397-4ab0-b049-2e54983f0bd9 11340e72-ffc5-4122-968c-d2a15e8b5084 eadd0240-1a73-483e-825d-7b4110cf0743 9a4c6a63-5250-47f4-b9af-d4c088617580 d60c6293-2153-4203-b4e1-ff17d60a90ce 451906d7-2d5c-4aad-8586-a3d650a3f292 b6ecbf10-2d71-49fe-ae3b-2c1fa79c86d1 89b3026b-ea76-4d88-8d9e-0c862729f289 33df653a-0bdc-453d-8361-2408c591fd7d 11a805eb-ebe1-455f-a7ad-df54ba8808c4 6c18c47a-a082-4db1-b5ff-b131d051e41e 3a1ee719-c050-41e4-ba58-a58b75f1b3a8 5b4c5f41-aa79-484d-a725-eacd43b71e33 2d0bd355-625c-419e-acc7-72e6a43c8659 c3967809-28ab-421a-a620-fdcd17e9f27a 346585be-d210-4f38-be2c-b279658500fb a9fa8ee8-26cb-44be-beef-98bd315e4cba 8c154399-e798-4e22-807b-22d1e4aa33a5 5584f495-105e-4e8d-8cd6-1a4580eccd0f c9f2613e-7e24-4301-8a81-21263ee75e6c f33f2b60-b8fb-4bed-818d-1ad6cdfddb28 6cf11140-74dc-42cc-9544-0a10a28d3049 35aed772-03ee-4d06-9f0d-16ac2698d8ec 32aebc9d-bbcd-434c-9084-7411dc8163c9 cda555cc-9704-4eef-8b24-01b5efe90e0f a3600330-e697-4805-a98e-30fe67703cf2 782307f0-3412-4bd8-b5e5-73d73479e14f 4b6887be-5d6a-417c-9fd1-5f577058d96e c148572f-841f-4eda-9ebd-faa5c11ea81f 5da3d58f-0806-4171-a09a-06f1d1889d8a 213773a0-9bab-4a84-8b43-f4b707d643a2 e516890b-a721-4c8c-8e6a-c664b0f01767 b03ed531-996f-4c76-88c4-f297f9f4701a f2ca04b4-cd34-425e-828a-c73d52e91a66 8362ea3f-e5f4-4faf-90a2-c86a2322b270 5b8bb2e7-8a8e-4ec7-85dd-43143c4753bb 10312eca-fbde-4b4b-a5f3-b14cda396ff6 3730e1d3-04ae-4247-ba35-1a1fcd3aaf6d 1aaf6bd4-0f89-4129-bd6a-fc9f7ffb898e 9acb7bfd-11d1-43d0-bc41-ae7c721e8f80 10211397-96f4-48de-8762-7674874bdefd 8b36956b-0d55-4f65-8ccd-8d68a8da073a d494aa44-1c4b-40bc-bf5c-f852f77e5ccc 08e627c1-7a82-4df1-a978-f329b58b1d22 56e5198b-1461-473c-a490-2ae9bfa6425f 7af2609b-72a4-4e86-9350-554c4ccffc52 c08dfdcc-3011-4bcb-a05a-6cfd08191dd6 43c22383-5bfb-4616-8582-a1383fdf0f41 886e5e7b-16a7-4363-8d52-966ea845087f 1b22b2bb-d0f6-4a3d-af54-dc230d77b600 3a292ac2-76fd-4f90-be54-0ac5cfd1e39e]
(Manual cleanup may be required if DELETE endpoint is not available)
